clase,prediccion
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue ,Blue
Blue-White,Blue-White
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Orange,Red
Orange-Red,Orange-Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
White,White
White,White
White-Yellow,White
Whitish,Whitish
Yellowish,Yellowish
Yellowish,Yellowish
white,white
white,Blue
yellow-white,yellow-white
yellow-white,yellow-white
yellow-white,yellow-white
yellow-white,yellow-white
yellowish,yellowish
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue ,Blue
Blue-White,Blue-White
Blue-white,Blue-white
Blue-white,Blue-White
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-White
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-White
Orange,Orange
Orange-Red,Orange-Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,Blue
White,Blue
White,Blue
White-Yellow,White-Yellow
Whitish,Whitish
Yellowish,Yellowish
Yellowish,Yellowish
white,white
yellow-white,yellow-white
yellow-white,yellow-white
yellow-white,yellow-white
yellowish,yellowish
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue ,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Orange,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
White,White
White,White
Whitish,Whitish
Yellowish,Yellowish
Yellowish,Yellowish
white,white
yellow-white,yellow-white
yellow-white,yellow-white
yellow-white,yellow-white
yellowish,Yellowish
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,White
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,White
Blue,Blue
Blue,Blue
Blue,Blue-white
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue ,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Orange,Orange
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
White,white
White,white
Whitish,Orange-Red
Yellowish,Yellowish
Yellowish,Yellowish
white,white
yellow-white,yellow-white
yellow-white,yellow-white
yellow-white,yellow-white
yellowish,yellowish
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue-white
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,Blue
White,Blue
Yellowish,Yellowish
Yellowish,Yellowish
white,white
yellow-white,yellow-white
yellow-white,yellow-white
yellow-white,yellow-white
