"total","correcto","exactitud","verdaderos_positivos","verdaderos_negativos","falsos_positivos","falsos_negativos","clases","recall_por_clase","precision_por_clase","especificidad_por_clase","macro_recall","macro_precision","macro_especificidad","macro_f_score_2","macro_f_score_1","macro_f_score_0.5","cantidad_k_subconjuntos","numero_arboles","numero_atributos","tiempo_de_ejecucion","timestamp","semilla"
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.1123189926147461,1718935083,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.06720304489135742,1718936807,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.09981584548950195,1718937021,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.08279299736022949,1718937193,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.09329581260681152,1718937514,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.10615086555480957,1718937549,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.0794379711151123,1718937900,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.06832385063171387,1718938151,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.06954216957092285,1718938169,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.06253314018249512,1718938399,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.07010912895202637,1718941110,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.3372812271118164,1718941548,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.04889488220214844,1718941612,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.08115196228027344,1718942674,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.07886004447937012,1718942765,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.07225394248962402,1718949346,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.05024075508117676,1718949483,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.06081104278564453,1718949511,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.06860613822937012,1718949541,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.09238886833190918,1718949599,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.0713341236114502,1718949711,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.12426924705505371,1718949732,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.06021308898925781,1718950001,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.21990180015563965,1718951614,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.22025489807128906,1718951991,5
99,99,1.0,"[99]","[0.0]","[0]","[0]",[1.],"[1.0]","[1.0]","[nan]",1.0,1.0,nan,1.0,1.0,1.0,5,10,8,0.3221423625946045,1718952551,5
