clase,prediccion
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue ,Blue
Blue-White,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Orange,Red
Orange-Red,Orange-Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,Red
White,White
White-Yellow,White-Yellow
Whitish,Whitish
Yellowish,Yellowish
white,Blue
yellow-white,yellow-white
yellow-white,yellow-white
yellowish,yellowish
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue ,Blue
Blue-White,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Orange,Orange
Orange-Red,Orange-Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
White,White
White-Yellow,White-Yellow
Whitish,Whitish
Yellowish,Yellowish
white,white
yellow-white,yellow-white
yellow-white,yellow-white
yellowish,yellowish
Blue,Blue
Blue,Blue
Blue,White
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,White
Blue,Blue
Blue ,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Orange,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
White,White
Whitish,Blue-white
Yellowish,Yellowish
white,white
yellow-white,yellow-white
yellow-white,yellow-white
yellowish,yellowish
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue ,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue
Blue-white,Blue-white
Orange,White
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
White,White
Whitish,Blue-white
Yellowish,Yellowish
white,Blue
yellow-white,yellow-white
yellow-white,yellow-white
yellowish,yellowish
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue-white
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
Yellowish,Yellowish
white,white
yellow-white,yellow-white
yellow-white,yellow-white
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,Blue
Yellowish,Yellowish
white,white
yellow-white,yellow-white
yellow-white,yellow-white
Blue,Blue
Blue,Blue-white
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
Yellowish,Yellowish
yellow-white,yellow-white
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
Yellowish,Yellowish
yellow-white,yellow-white
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
Yellowish,Yellowish
yellow-white,yellow-white
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue,Blue
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Blue-white,Blue-white
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
Red,Red
White,White
Yellowish,Yellowish
yellow-white,yellow-white
