Temperature,L,R,A_M,Espectral,Tipo,clase
23679,244291.0,36.0,-6.26,O,4,Blue
12750,332521.0,77.0,-7.01,O,4,Blue
9384,342941.0,99.0,-6.97,O,4,Blue
23441,537431.0,82.0,-5.974,O,4,Blue
16788,246731.0,63.0,-6.34,O,4,Blue
18735,224781.0,47.0,-7.44,O,4,Blue
9893,593901.0,81.0,-7.261,O,4,Blue
10931,783931.0,26.0,-6.223,O,4,Blue
23096,347821.0,87.0,-5.904,O,4,Blue
21739,748891.0,93.0,-7.345,O,4,Blue
24146,382994.0,1495.0,-8.83,B,5,Blue-white
38235,272831.0,1357.0,-9.28,O,5,Blue
32490,648431.0,1949.5,-10.83,O,5,Blue
27740,849421.0,1253.0,-7.58,B,5,Blue-white
21905,748491.0,1131.0,-7.66,B,5,Blue-white
38941,374831.0,1357.0,-9.92,O,5,Blue
30840,834043.0,1195.0,-10.62,O,5,Blue
8830,537494.0,1424.0,-10.72,A,5,White
9236,404941.0,1113.0,-11.22,A,5,White
3258,0.0025,0.47,10.74,M,1,Red
2995,0.0073,0.29,13.46,M,1,Red
3213,0.0017,0.379,12.855,M,1,Red
3524,0.0055,0.32,12.44,M,1,Red
3599,0.0028,0.68,13.668,M,1,Red
3143,0.00133,0.259,14.13,M,1,Red
3497,0.00126,0.337,14.95,M,1,Red
3325,0.0066,0.472,12.79,M,1,Red
3464,0.0028,0.676,14.777,M,1,Red
16791,0.00141,0.0122,12.88,B,2,Blue
15681,0.00123,0.0115,11.93,B,2,Blue
14983,0.00119,0.0114,12.24,B,2,Blue
13341,0.0011,0.0117,12.91,B,2,Blue
18341,0.00135,0.0125,11.23,B,2,Blue
19921,0.00157,0.0143,11.35,B,2,Blue
24021,0.0016,0.0128,10.56,B,2,Blue
23093,0.00133,0.0105,10.19,B,2,Blue
17921,0.00112,0.0107,11.67,B,2,Blue
19361,0.00126,0.00999,11.63,B,2,Blue
22351,12451.0,6.37,-3.66,B,3,Blue-white
10013,553.0,5.857,0.014,A,3,Blue-white
13090,789.0,5.993,-0.11,A,3,Blue-white
22013,6749.0,6.65,-2.54,B,3,Blue-white
34191,198201.0,6.4,-4.56,O,3,Blue
32461,173801.0,6.238,-4.35,O,3,Blue
9321,30.0,1.92,1.237,A,3,Blue-white
19401,10921.0,6.04,-3.07,B,3,Blue-white
17141,884.0,5.654,-2.63,B,3,Blue-white
8251,9.26,1.94,-0.97,F,3,yellow-white
37883,294904.0,1784.0,-7.79,O,5,Blue
3069,0.0025,0.18,16.13,M,0,Red
3043,0.0006,0.1552,16.61,M,0,Red
2601,0.0004,0.103,18.71,M,0,Red
2801,0.0003,0.17,16.66,M,0,Red
1940,0.000238,0.104,20.07,M,0,Red
2841,0.00075,0.12,16.99,M,0,Red
2638,0.00083,0.128,17.23,M,0,Red
2601,0.0005,0.097,17.41,M,0,Red
2651,0.00079,0.12,17.46,M,0,Red
2701,0.00028,0.14,16.06,M,0,Red
3601,0.003,0.52,10.7,M,1,Red
3130,0.0123,0.3771,11.8,M,1,Red
3135,0.0005,0.197,13.22,M,1,Red
3629,0.0056,0.394,10.49,M,1,Red
2651,0.0007,0.15,11.783,M,1,Red
3341,0.0039,0.25,13.08,M,1,Red
2800,0.0019,0.17,14.8,M,1,Red
3693,0.00368,0.48,10.81,M,1,Red
3193,0.00363,0.1977,13.54,M,1,Red
3442,0.04,0.352,11.19,M,1,Red
25001,0.057,0.0094,10.59,B,2,Blue White
7741,0.00059,0.01334,14.03,A,2,White
7221,0.00027,0.012,14.24,F,2,White
8501,0.0006,0.011,14.51,A,2,White
16501,0.014,0.015,11.9,B,2,Blue White
12991,0.000185,0.01084,12.24,F,2,Yellowish White
8571,0.00091,0.0107,14.21,A,2,Blue white
7701,0.00021,0.0138,14.48,F,2,Yellowish White
11791,0.00025,0.012,12.6,F,2,Yellowish White
7231,0.00018,0.014,14.09,F,2,Pale yellow orange
39001,204001.0,10.7,-4.69,O,3,Blue
30001,28841.0,6.4,-4.19,B,3,Blue-white
15277,1137.0,7.3,-1.96,B,3,Blue-white
9701,75.0,2.9,0.17,B,3,Whitish
5801,0.82,0.91,5.06,F,3,yellow-white
8053,8.8,1.81,2.43,A,3,Whitish
6758,1.44,1.13,2.42,F,3,yellow-white
6381,1.36,0.99,2.94,F,3,yellow-white
5937,1.358,1.107,4.47,F,3,yellow-white
5588,0.82,0.9,5.04,F,3,yellow-white
3827,200001.0,20.0,-6.92,M,4,Red
3366,340001.0,24.0,-6.19,M,4,Red
3271,150001.0,89.0,-6.01,M,4,Red
3201,195001.0,18.0,-7.21,M,4,Red
3009,280001.0,26.0,-5.99,M,4,Red
3601,320001.0,30.0,-6.59,M,4,Red
3576,123001.0,46.0,-6.77,M,4,Red
3575,200001.0,90.0,-5.23,M,4,Red
3626,184001.0,85.0,-6.73,M,4,Red
33751,220001.0,27.0,-6.09,B,4,Blue
3491,270001.0,1521.0,-9.39,M,5,Red
3751,283001.0,1261.0,-7.62,M,5,Red
3835,272001.0,1184.0,-9.19,M,5,Red
3750,550001.0,1267.0,-9.63,M,5,Red
3008,294001.0,1378.0,-7.93,M,5,Red
3875,574001.0,1351.0,-8.13,M,5,Red
3900,528001.0,1495.0,-9.23,M,5,Red
3819,478001.0,1389.0,-8.22,M,5,Red
3876,556001.0,1383.0,-7.99,M,5,Red
3719,443001.0,1377.0,-8.51,M,5,Red
3718,583001.0,1356.0,-8.29,M,5,Red
3751,483001.0,1284.0,-7.89,M,5,Red
8793,0.00091,0.0117,12.84,B,2,Blue white
9930,0.00083,0.0129,12.77,F,2,Yellowish White
1003,0.00059,0.0112,13.12,F,2,Yellowish White
8771,0.00122,0.0114,14.02,B,2,Blue white
7282,0.00079,0.0116,12.94,F,2,White
6583,0.00077,0.013,14.56,F,2,Yellowish White
8273,0.00144,0.0123,12.59,F,2,Yellowish White
1082,0.00165,0.011,13.61,F,2,Yellowish White
1092,0.00123,0.0118,12.79,A,2,White
1792,0.00092,0.0115,13.35,A,2,White
202001,450001.0,7.2,-2.66,O,3,Blue
208921,340001.0,6.4,-3.25,B,3,Blue
312211,270001.0,6.7,-3.91,B,3,Blue-white
343291,201004.0,5.9,-2.15,B,3,Blue
179231,160008.0,5.5,-2.04,B,3,Blue
230128,700001.0,7.4,-3.82,O,3,Blue
300541,850001.0,6.9,-4.02,O,3,Blue
204875,450001.0,7.8,-3.12,B,3,Blue
200198,478001.0,6.1,-2.89,B,3,Blue
158021,365001.0,7.2,-3.52,O,3,Blue
112121,80004.0,0.2,0.05,A,3,Blue-white
103821,70002.0,1.4,0.01,A,3,Blue-white
87121,190002.0,1.6,0.1,B,3,Blue-white
87121,290007.0,0.3,0.02,A,3,Blue-white
92121,100001.0,0.6,0.2,A,3,Blue-white
17372,1241.0,2.5,0.11,B,3,Blue
14651,1231.0,2.4,0.13,B,3,Blue
13421,3451.0,2.3,0.12,B,3,Blue
12331,2341.0,2.2,0.12,B,3,Blue
10221,341.0,1.2,0.01,A,3,Blue-white
12675,452000.0,83.0,-5.62,O,4,Blue
5752,245000.0,97.0,-6.63,O,4,Blue
8927,239000.0,35.0,-7.34,O,4,Blue
7282,131000.0,24.0,-7.22,O,4,Blue
19923,152000.0,73.0,-5.69,O,4,Blue
26373,198000.0,39.0,-5.83,O,4,Blue
17383,342900.0,30.0,-6.09,O,4,Blue
9373,424520.0,24.0,-5.99,O,4,Blue
7100,0.00029,0.012,14.09,F,2,White-Yellow
10574,0.00014,0.0092,12.02,F,2,White
8930,0.00056,0.0095,13.78,A,2,white
17200,0.00098,0.015,12.45,B,2,Blue White
14100,0.00067,0.0089,12.17,B,2,Blue White
9675,0.00045,0.0109,13.98,A,2,Blue White
12010,0.00078,0.0092,12.13,B,2,Blue White
10980,0.00074,0.0087,11.19,B,2,Blue White
13720,0.00018,0.00892,12.97,F,2,white
19860,0.0011,0.0131,11.34,B,2,Blue
5300,0.59,0.91,5.49,F,3,yellow-white
4526,0.153,0.865,6.506,K,3,yellowish
4077,0.085,0.795,6.228,K,3,yellowish
4980,0.357,1.13,4.78,K,3,Yellowish
9030,45.0,2.63,1.45,A,3,Blue-white
11250,672.0,6.98,-2.3,A,3,Blue-white
5112,0.63,0.876,4.68,K,3,Orange-Red
7720,7.92,1.34,2.44,F,3,yellow-white
12098,689.0,7.01,0.02,A,3,Blue-white
36108,198000.0,10.2,-4.4,O,3,Blue
33300,240000.0,12.0,-6.5,B,4,Blue
40000,813000.0,14.0,-6.23,O,4,Blue
23000,127000.0,36.0,-5.76,O,4,Blue
17120,235000.0,83.0,-6.89,O,4,Blue
11096,112000.0,12.0,-5.91,O,4,Blue
14245,231000.0,42.0,-6.12,O,4,Blue
24630,363000.0,63.0,-5.83,O,4,Blue
12893,184000.0,36.0,-6.34,O,4,Blue
24345,142000.0,57.0,-6.24,O,4,Blue
33421,352000.0,67.0,-5.79,O,4,Blue
3459,100000.0,1289.0,-10.7,M,5,Red
3605,126000.0,1124.0,-10.81,M,5,Red
3615,200000.0,1635.0,-11.33,M,5,Red
3399,117000.0,1486.0,-10.92,M,5,Red
3610,132000.0,1522.0,-10.86,M,5,Red
3553,145000.0,1324.0,-11.03,M,5,Red
4015,282000.0,1534.0,-11.39,K,5,Red
3625,74000.0,876.0,-10.25,M,5,Red
6850,229000.0,1467.0,-10.07,G,5,Red
3780,200000.0,1324.0,-10.7,M,5,Red
3323,0.00043,0.0912,17.16,M,0,Red
3531,0.00093,0.0976,19.94,M,0,Red
3218,0.00054,0.11,20.02,M,0,Red
3146,0.00015,0.0932,16.92,M,0,Red
